question,hop_depth,path,relations,path_degrees,max_degree_in_path,corpus_median_degree_for_reference
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,parent_father_of","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,parent_father_of","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,parent_father_of","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,relative_of","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,relative_of","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,companion_of","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,parent_father_of","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,parent_father_of","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,relative_of","[26, 270, 556]",556,1
Who is the father of Mrs. Holt's son's wife?,2,mr. holt -> mr. lyon -> esther,"member_of,parent_father_of","[26, 270, 556]",556,1
Who is the mother of Matthew Jermyn's biological son?,1,daughters -> esther,companion_of,"[3, 556]",556,1
Who is the mother of Matthew Jermyn's biological son?,1,his daughters -> miss lyon,companion_of,"[2, 27]",27,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> transome court,visits,"[199, 19]",199,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> johnson,rival_of,"[199, 46]",199,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> johnson,employer_of,"[199, 46]",199,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> johnson,employer_of,"[199, 46]",199,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> johnson,enemy_of,"[199, 46]",199,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> johnson,employer_of,"[199, 46]",199,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> johnson,companion_of,"[199, 46]",199,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> mr. lingon,rival_of,"[199, 20]",199,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> sir maximus,rival_of,"[199, 52]",199,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> harold transome,rival_of,"[199, 94]",199,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> harold transome,rival_of,"[199, 94]",199,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> harold transome,enemy_of,"[199, 94]",199,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> mr. german cozen,relative_of,"[199, 1]",199,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> transome affairs,employer_of,"[199, 1]",199,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> mrs. transome,companion_of,"[199, 206]",206,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> mrs. transome,friend_of,"[199, 206]",206,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> mrs. transome,understands,"[199, 206]",206,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> mrs. transome,companion_of,"[199, 206]",206,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> mrs. transome,visits,"[199, 206]",206,1
Who is the mother of Matthew Jermyn's biological son?,1,jermyn -> mrs. transome,companion_of,"[199, 206]",206,1
Who is Mrs. Holt's son's wife?,1,her son -> her,child_of,"[23, 49]",49,1
Who is Mrs. Holt's son's wife?,1,her son -> her,child_of,"[23, 49]",49,1
Who is Mrs. Holt's son's wife?,1,her son -> her,child_of,"[23, 49]",49,1
Who is Mrs. Holt's son's wife?,1,her son -> a little grandson,parent_father_of,"[23, 1]",23,1
Who is Mrs. Holt's son's wife?,1,her son -> she,child_of,"[23, 29]",29,1
Who is Mrs. Holt's son's wife?,1,her son -> harold,sibling_of,"[23, 417]",417,1
Who is Mrs. Holt's son's wife?,1,her husband -> mary,spouse_of,"[14, 4]",14,1
Who is Mrs. Holt's son's wife?,1,her husband -> hanoverian army,member_of,"[14, 2]",14,1
Who is Mrs. Holt's son's wife?,1,her husband -> annette,lover_of,"[14, 32]",32,1
Who is Mrs. Holt's son's wife?,1,her husband -> mary,spouse_of,"[14, 4]",14,1
Who is Mrs. Holt's son's wife?,1,her husband -> mrs. transome,spouse_of,"[14, 206]",206,1
Who is Mrs. Holt's son's wife?,1,her husband -> mrs. transome,spouse_of,"[14, 206]",206,1
Who is Mrs. Holt's son's wife?,1,her husband -> she,spouse_of,"[14, 29]",29,1
Who is Mrs. Holt's son's wife?,1,her husband -> her,spouse_of,"[14, 49]",49,1
Who is Mrs. Holt's son's wife?,1,her husband -> her,spouse_of,"[14, 49]",49,1
Who is Mrs. Holt's son's wife?,1,her husband -> lady debarry,spouse_of,"[14, 17]",17,1
Who is Mrs. Holt's son's wife?,1,her husband -> esther,spouse_of,"[14, 556]",556,1
Who is Mrs. Holt's son's wife?,1,her husband -> mrs. tiliot,spouse_of,"[14, 7]",14,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> miss,friend_of,"[26, 2]",26,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> mr. lyon,member_of,"[26, 270]",270,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> mr. lyon,companion_of,"[26, 270]",270,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,companion_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,companion_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,companion_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> felix,identity,"[26, 364]",364,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> minister,friend_of,"[26, 21]",26,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> jermyn,companion_of,"[26, 199]",199,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> job,mentor_of,"[26, 38]",38,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,rival_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,companion_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> felix,companion_of,"[26, 364]",364,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> felix,sibling_of,"[26, 364]",364,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> felix,companion_of,"[26, 364]",364,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> lyddy,companion_of,"[26, 33]",33,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> lyddy,companion_of,"[26, 33]",33,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> miss,friend_of,"[26, 2]",26,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> mr. lyon,member_of,"[26, 270]",270,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> mr. lyon,companion_of,"[26, 270]",270,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,companion_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,companion_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,companion_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> felix,identity,"[26, 364]",364,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> minister,friend_of,"[26, 21]",26,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> jermyn,companion_of,"[26, 199]",199,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> job,mentor_of,"[26, 38]",38,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,rival_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,companion_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> felix,companion_of,"[26, 364]",364,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> felix,sibling_of,"[26, 364]",364,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> felix,companion_of,"[26, 364]",364,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> lyddy,companion_of,"[26, 33]",33,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> lyddy,companion_of,"[26, 33]",33,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> miss,friend_of,"[26, 2]",26,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> mr. lyon,member_of,"[26, 270]",270,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> mr. lyon,companion_of,"[26, 270]",270,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,companion_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,companion_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,companion_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> felix,identity,"[26, 364]",364,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> minister,friend_of,"[26, 21]",26,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> jermyn,companion_of,"[26, 199]",199,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> job,mentor_of,"[26, 38]",38,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,rival_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> esther,companion_of,"[26, 556]",556,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> felix,companion_of,"[26, 364]",364,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> felix,sibling_of,"[26, 364]",364,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> felix,companion_of,"[26, 364]",364,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> lyddy,companion_of,"[26, 33]",33,1
Who is Mrs. Holt's son's wife?,1,mr. holt -> lyddy,companion_of,"[26, 33]",33,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan,companion_of,"[173, 657]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> younger apes,"companion_of,companion_of","[173, 657, 1]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,friend_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,friend_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan,companion_of,"[173, 657]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> younger apes,"companion_of,companion_of","[173, 657, 1]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,friend_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,friend_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan,companion_of,"[173, 657]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> younger apes,"companion_of,companion_of","[173, 657, 1]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,friend_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,friend_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan,companion_of,"[173, 657]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> younger apes,"companion_of,companion_of","[173, 657, 1]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,friend_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,friend_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan,companion_of,"[173, 657]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> younger apes,"companion_of,companion_of","[173, 657, 1]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,friend_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,friend_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
[POSITIVE CONTROL] Who is the enemy of the companion of taug?,1,taug -> tarzan -> tantor,"companion_of,companion_of","[173, 657, 41]",657,1
